date,genre,percentage_in_year,decade
1965,jazz,0.05057803468208093,60s
1966,jazz,0.03851444291609354,60s
1967,jazz,0.05517241379310345,60s
1968,jazz,0.07250755287009064,60s
1969,jazz,0.07342143906020558,60s
1970,jazz,0.04566929133858268,70s
1971,jazz,0.04952076677316294,70s
1972,jazz,0.060556464811783964,70s
1973,jazz,0.06788990825688074,70s
1974,jazz,0.07339449541284404,70s
1975,jazz,0.07291666666666667,70s
1976,jazz,0.07942238267148015,70s
1977,jazz,0.04681647940074907,70s
1978,jazz,0.039603960396039604,70s
1979,jazz,0.033210332103321034,70s
1980,jazz,0.04743083003952569,80s
1981,jazz,0.04781704781704782,80s
1982,jazz,0.03937007874015748,80s
1983,jazz,0.03481624758220503,80s
1984,jazz,0.02584493041749503,80s
1985,jazz,0.01694915254237288,80s
1986,jazz,0.021834061135371178,80s
1987,jazz,0.04185022026431718,80s
1988,jazz,0.02608695652173913,80s
1989,jazz,0.017429193899782137,80s
1990,jazz,0.011210762331838564,90s
1991,jazz,0.006607929515418502,90s
1992,jazz,0.01650943396226415,90s
1993,jazz,0.019704433497536946,90s
1994,jazz,0.020151133501259445,90s
1995,jazz,0.01282051282051282,90s
1996,jazz,0.0084985835694051,90s
1997,jazz,0.012987012987012988,90s
1998,jazz,0.007058823529411765,90s
1999,jazz,0.002531645569620253,90s
2000,jazz,0.002544529262086514,00s
2001,jazz,0.0,00s
2002,jazz,0.005221932114882507,00s
2003,jazz,0.0026109660574412533,00s
2004,jazz,0.0,00s
2005,jazz,0.0,00s
2006,jazz,0.0,00s
2007,jazz,0.002277904328018223,00s
2008,jazz,0.0,00s
2009,jazz,0.0,00s
2010,jazz,0.0,10s
2011,jazz,0.0017605633802816902,10s
2012,jazz,0.0022271714922048997,10s
2013,jazz,0.0,10s
2014,jazz,0.002257336343115124,10s
2015,jazz,0.0,10s
2016,jazz,0.00392156862745098,10s
2017,jazz,0.001851851851851852,10s
2018,jazz,0.002932551319648094,10s
2019,jazz,0.003289473684210526,10s
1960,latin,0.0,60s
1961,latin,0.0,60s
1962,latin,0.0,60s
1963,latin,0.001597444089456869,60s
1964,latin,0.001430615164520744,60s
1965,latin,0.0,60s
1966,latin,0.0,60s
1967,latin,0.0,60s
1968,latin,0.006042296072507553,60s
1969,latin,0.007342143906020558,60s
1970,latin,0.0,70s
1971,latin,0.001597444089456869,70s
1972,latin,0.0016366612111292963,70s
1973,latin,0.003669724770642202,70s
1974,latin,0.001834862385321101,70s
1975,latin,0.001736111111111111,70s
1976,latin,0.0,70s
1977,latin,0.0,70s
1978,latin,0.0,70s
1979,latin,0.0,70s
1980,latin,0.0,80s
1981,latin,0.0,80s
1982,latin,0.0,80s
1983,latin,0.0038684719535783366,80s
1984,latin,0.0019880715705765406,80s
1985,latin,0.0,80s
1986,latin,0.0,80s
1987,latin,0.0,80s
1988,latin,0.0,80s
1989,latin,0.006535947712418301,80s
1990,latin,0.013452914798206279,90s
1991,latin,0.013215859030837005,90s
1992,latin,0.01179245283018868,90s
1993,latin,0.0049261083743842365,90s
1994,latin,0.0,90s
1995,latin,0.007692307692307693,90s
1996,latin,0.019830028328611898,90s
1997,latin,0.0025974025974025974,90s
